acpi 1.8-2
alacritty 0.17.0-1
base 3-3
cloudflare-warp-bin 2026.6.880-1
firefox 154.0-1
fuzzel 1.14.1-2
gammastep 2.0.11-2
gdu 5.37.0-1
github-cli 2.97.0-1
grub 2:2.14-1
i3status-rust 0.36.1-1
intel-ucode 20260812-1
linux-firmware-intel 20260810-2
linux-firmware-realtek 20260810-2
linux-lts 6.18.44-1
ntfs-3g 2026.7.7-1
pacman-contrib 1.13.1-1
pkgfile 26-1
polkit-kde-agent 6.7.4-1
sof-firmware 2025.12.2-1
stow 2.4.1-1
sway 1:1.12-4
thunar 4.20.9-1
tlp 1.10.2-1
tree 2.3.2-1
ufw 0.36.2-7
yay 13.0.1-1
yay-debug 13.0.1-1
yazi 26.5.6-4
yt-dlp 2026.08.19-1
zen-browser-bin 1.21.15b-1
zsh-autocomplete 25.03.19-1
